sn	sess	chordID	num_trials	accuracy	num_fingers	MD	MT	RT	ET	MD_std	MT_std	RT_std	ET_std	diff_force_f1	diff_force_f2	diff_force_f3	diff_force_f4	diff_force_f5	force_f1	force_f2	force_f3	force_f4	force_f5	force_e1	force_e2	force_e3	force_e4	force_e5
 9	1	99221	5	  1	3	   0.679106	    419.2	    334.4	    753.6	  0.2853722	 162.13945	181.18168	321.63768	    0.571188	    0.430104	   -3.86924	    -2.43926	     2.07636	   -0.369268	   -0.375514	    3.770686	     2.10874	   -0.564032	     0.201928	   0.05458612	   -0.0985501	    -0.330508	      1.51234
 9	1	22299	5	  1	3	  0.4064466	    187.2	    264.4	    451.6	  0.4891113	 126.47213	144.75773	239.94749	     -3.4245	     -2.7646	   -2.65128	  -0.0395724	   -0.079109	     2.63236	     2.76428	    2.651546	  -0.0007332	   0.0788346	     -0.79216	   -0.0003881	 0.0002575898	  -0.04029364	-0.0002242574
 9	1	22929	5	  1	3	   0.809114	    566.8	    322.4	    889.2	  0.4551681	  402.0786	265.56129	574.63136	    -3.54858	    -3.20638	  0.3000774	    -1.93808	  -0.1871182	      3.1508	     3.19784	    0.278316	     1.58354	    -0.32848	    -0.397762	  -0.00847432	    0.5783898	    -0.354548	    -0.515612
 9	1	22992	4	0.8	3	     1.7816	   1515.5	      650	   2165.5	  0.2753219	 884.86138	244.35493	 1108.448	   -4.070825	     -3.9757	    0.48643	   0.3734875	   -1.816125	    3.563275	     3.97585	  0.04563478	  -0.1641162	    1.815925	     -0.50759	 8.140975e-05	    0.5320732	    0.2093673	-0.0001566665
 9	1	29229	5	  1	3	     0.2281	    449.2	      358	    807.2	  0.2890255	 683.21388	267.87684	649.06641	    -2.77998	  -0.1416934	   -2.83782	    -1.91498	   0.1145002	     1.66708	     0.17707	    2.399214	     1.35228	   -0.092386	      -1.1129	   0.03535539	   -0.4385942	    -0.562732	     0.022122
 9	1	29292	5	  1	3	    0.85128	      696	    254.4	    950.4	  0.5876408	 629.34887	252.24353	853.72056	    -3.82242	    0.369848	   -3.59352	   0.1179826	    -2.15336	     2.22476	  -0.1236324	    3.314034	  -0.1888508	     1.80236	      -1.5977	       0.2462	   -0.2794638	   -0.0708306	     -0.35107
 9	1	29922	4	0.8	3	   0.722815	    614.5	      519	   1133.5	  0.4665471	 536.07804	193.13898	719.84512	     -2.9632	  0.09067025	  0.3463815	     -1.9812	   -2.040375	    2.284325	  -0.1463243	   0.4129523	    1.375625	      1.7571	    -0.678855	   -0.0556215	    0.7593477	   -0.6055725	    -0.283265
 9	1	92229	5	  1	3	  0.1625054	    139.2	    357.6	    496.8	 0.07528071	 132.76747	212.50129	340.97976	   -0.183714	    -3.13094	     -3.348	    -1.87534	  0.02454796	      0.2513	      3.1312	      3.3475	     1.71456	 -0.02496588	    0.0675974	 0.0001962574	-0.0005314872	    -0.160788	-0.0003689224
 9	1	92292	5	  1	3	   0.887198	    581.6	      236	    817.6	   0.430497	 485.87941	136.24243	615.40296	   -0.440356	    -3.61082	     -4.009	   -0.015284	    -2.27174	    0.177994	      3.6107	    3.910568	 -0.05278642	     2.09876	     -0.26239	-0.0001579994	   -0.0983781	   -0.0680694	     -0.17295
 9	1	92922	4	0.8	3	     1.1378	    749.5	    442.5	     1192	  0.1447961	 54.757039	185.26647	193.18385	   0.1806018	    -4.21815	    0.39109	    -2.02705	    -1.83085	    -0.28264	    4.217775	 -0.08848025	      1.3955	    1.411025	   -0.1020675	 -0.000367885	      0.30263	      -0.6316	    -0.419925
 9	1	99222	5	  1	3	   0.945022	    810.4	    157.6	      968	  0.3836199	 451.41865	14.926487	450.25992	    -0.18617	  -0.2002918	   -3.17462	    -2.25684	    -1.82884	    -0.59959	    0.293464	    2.747112	     1.55272	     1.47808	     -0.78576	   0.09313764	   -0.4274868	    -0.704122	    -0.350818
 9	1	11119	5	  1	4	  0.2067914	    323.6	    338.8	    662.4	  0.1310868	 203.04384	252.91342	 439.3436	     2.51022	     2.64346	    3.29348	      1.9727	   -0.322036	    -1.13652	    -0.66088	  -0.8374482	   -0.651128	    0.292064	      1.37364	      1.98258	     2.456002	      1.32154	  -0.02998689
 9	1	11191	5	  1	4	    1.65822	   1547.2	    210.4	   1757.6	  0.4217812	 1549.8301	162.19371	1674.0128	      2.7098	     2.89824	    2.87346	    0.037434	     2.11182	     -1.6378	   -0.755356	  -0.9391972	   0.1612814	   -0.601066	     1.072004	      2.14292	     1.934288	     0.198728	      1.51074
 9	1	11911	5	  1	4	   1.778778	   2387.6	    383.6	   2771.2	  0.6384757	 1701.4102	167.59714	1817.8705	      2.5895	     3.47108	  -0.288504	     1.67932	     2.09336	    -1.25368	   -0.526766	   0.5597252	    -0.36062	   -0.635518	      1.33582	      2.94434	    0.2711971	      1.31876	      1.45786
